,precision,recall,f1-score,support
alureon,0.27276454989269683,0.15175983436853002,0.16498768245241488,966.0
banjori,0.9981504642950423,1.0,0.9990717916171115,966.0
bedep,0.6331341272334248,0.43602484472049696,0.49001008155364356,966.0
ccleaner,0.9825695246100876,1.0,0.991192114462535,966.0
chinad,0.9273782353425515,0.8552795031055901,0.8847400631461012,966.0
corebot,0.9985355483144801,0.9863354037267081,0.9923935809493564,966.0
cryptolocker,0.3019976475552011,0.3683229813664596,0.3150514536950232,966.0
dircrypt,0.26163125500982576,0.20910973084886128,0.21445393411310693,966.0
dyre,0.9940469920288987,1.0,0.9970107774348851,966.0
fobber_v1,0.7685581934745009,0.8892339544513458,0.8131958831478079,966.0
fobber_v2,0.27999015137558503,0.45610766045548656,0.33352156472826533,966.0
gozi_gpl,0.8903515355638525,0.9614906832298136,0.9242159208555509,966.0
gozi_luther,0.8188993393552698,0.8552795031055901,0.83274679585511,966.0
gozi_nasa,0.5364634656873856,0.8428571428571429,0.6500760572295576,966.0
gozi_rfc4343,0.7762074831190162,0.38881987577639754,0.4876375126218198,966.0
kraken_v1,0.7750372239066357,0.641407867494824,0.6854035639430223,966.0
kraken_v2,0.3913391385627035,0.4387163561076604,0.35172441002716576,966.0
locky,0.3703614609558901,0.25527950310559006,0.25207721276314043,966.0
matsnu,0.9352598620518604,0.9304347826086955,0.9321482302548404,966.0
murofet_v1,0.9466379613901464,0.9855072463768115,0.9649091887695974,966.0
murofet_v2,0.7956566619482228,0.7960662525879917,0.7666589215239928,966.0
murofet_v3,1.0,0.9933747412008282,0.9966734780587678,966.0
necurs,0.3730993072657408,0.260455486542443,0.2821183447652495,966.0
nymaim,0.9385968388554671,0.8254658385093169,0.8774839972290305,966.0
padcrypt,0.9615770007974385,0.9542443064182194,0.9570557396133044,966.0
pizd,0.6850922064299392,0.5246376811594203,0.5289804734063118,966.0
proslikefan,0.481905446441639,0.4231884057971015,0.433469718129342,966.0
pushdo,0.8446012530443255,0.7600414078674949,0.7873127535418551,966.0
pykspa,0.2398821183689836,0.1989648033126294,0.20706719611696167,966.0
pykspa_noise,0.2708369962781208,0.2341614906832298,0.22703229253508866,966.0
qadars,0.8195604680978906,0.8012422360248447,0.8071682619091531,966.0
qakbot,0.6095023800078204,0.34265010351966874,0.4034614407373377,966.0
ramdo,0.937178089469184,0.9790890269151138,0.9568435382237919,966.0
ramnit,0.20781923542201905,0.3372670807453416,0.19872695396168802,966.0
ranbyus_v1,0.5130730138532014,0.5217391304347826,0.48831343783864567,966.0
ranbyus_v2,0.572858063435537,0.4424430641821946,0.48361564591362105,966.0
rovnix,0.9344950350875031,0.7975155279503106,0.858241262624061,966.0
shiotob,0.7572492039450981,0.5697722567287784,0.6362054062877279,966.0
simda,0.6606156983556037,0.8188405797101449,0.7259210048002658,966.0
sisron,0.9773776839382811,0.998136645962733,0.9875767417649716,966.0
suppobox_1,0.5955529199379836,0.7424430641821946,0.6356413243210417,966.0
suppobox_2,0.9041236558691388,0.8366459627329192,0.8676822053790725,966.0
suppobox_3,0.974747476463912,0.9888198757763975,0.9815354852927671,966.0
symmi,0.9817250380930087,0.9995859213250518,0.9905689091825858,966.0
tempedreve,0.41271163973295577,0.2734989648033127,0.2939853604569775,966.0
tinba,0.40734248737916917,0.20041407867494826,0.2528341568247001,966.0
vawtrak_v1,0.976400098108171,0.9968944099378882,0.9865005559870751,966.0
vawtrak_v2,0.6573309476896327,0.7376811594202899,0.6890577570477521,966.0
vawtrak_v3,0.6393959918925326,0.7184265010351967,0.6675399776302477,966.0
zeus-newgoz,0.9997912317327767,0.991511387163561,0.9956331190818666,966.0
legit,0.7955079266859407,0.6089026915113872,0.6881987114132582,966.0
accuracy,0.6730605285592498,0.6730605285592498,0.6730605285592498,0.6730605285592498
macro avg,0.7016651034186724,0.6730605285592498,0.6654053331611484,49266.0
weighted avg,0.7016651034186724,0.6730605285592498,0.6654053331611484,49266.0
