,precision,recall,f1-score,support
alureon,0.25739770605922613,0.38776824034334767,0.26420692688752323,932.0
banjori,0.9972382956039821,1.0,0.9986121894548704,932.0
bedep,0.552677448040425,0.567381974248927,0.5018029664248908,932.0
ccleaner,0.9827107525579046,1.0,0.9912272209980412,932.0
chinad,0.8933135687323732,0.9255364806866954,0.906434414434564,932.0
corebot,0.9980693268443822,0.993991416309013,0.9960223547655292,932.0
cryptolocker,0.3965557221605571,0.35965665236051503,0.36470413409877844,932.0
dircrypt,0.34909486055534306,0.2551502145922747,0.27068714039328434,932.0
dyre,0.9989286476586544,1.0,0.9994639219100655,932.0
fobber_v1,0.7115933451902599,0.9714592274678111,0.8103763591700146,932.0
fobber_v2,0.2961948156995511,0.30150214592274677,0.24748453069981052,932.0
gozi_gpl,0.9546067049646624,0.9221030042918456,0.9360739630415692,932.0
gozi_luther,0.802721671538991,0.9160944206008583,0.8522030091800399,932.0
gozi_nasa,0.7679977535530309,0.7163090128755365,0.721971597316465,932.0
gozi_rfc4343,0.7736249027823525,0.6150214592274679,0.6754593297545408,932.0
kraken_v1,0.7491122027626602,0.7598712446351931,0.7255487127889152,932.0
kraken_v2,0.5931990646351922,0.38369098712446353,0.4001234193844854,932.0
locky,0.5112857063345857,0.344206008583691,0.3818739666612566,932.0
matsnu,0.8958610105576497,0.9594420600858369,0.9260605652490627,932.0
murofet_v1,0.9540326912102636,0.9959227467811159,0.9741941365248717,932.0
murofet_v2,0.84543392595819,0.9291845493562232,0.882545569373602,932.0
murofet_v3,0.9997851772287862,0.9954935622317596,0.9976332486049249,932.0
necurs,0.5885655550915272,0.3062231759656652,0.36927842337222233,932.0
nymaim,0.8780734958694543,0.846137339055794,0.8567124548922391,932.0
padcrypt,0.9567572956928647,0.9763948497854077,0.965569134720363,932.0
pizd,0.6705068225567994,0.7439914163090129,0.6720046089354657,932.0
proslikefan,0.5296818875986828,0.4854077253218884,0.4885128156433155,932.0
pushdo,0.8350308541815317,0.9053648068669528,0.8591657369257181,932.0
pykspa,0.29297167930701634,0.2124463519313305,0.23963660456192054,932.0
pykspa_noise,0.29705533520404936,0.17896995708154506,0.2054737178494252,932.0
qadars,0.8491338431746565,0.7594420600858369,0.7799518526563833,932.0
qakbot,0.7282237244893133,0.38755364806866954,0.501536348942412,932.0
ramdo,0.909426346861909,0.9980686695278971,0.950874330337872,932.0
ramnit,0.2834276844923162,0.05214592274678111,0.08513776536195938,932.0
ranbyus_v1,0.5548398291835402,0.6699570815450644,0.5895958282821526,932.0
ranbyus_v2,0.6367780362155785,0.6049356223175966,0.5764645492701893,932.0
rovnix,0.8730020539462092,0.9246781115879829,0.8934483671355615,932.0
shiotob,0.701264830440013,0.6068669527896995,0.599152144465346,932.0
simda,0.8163318524429923,0.8272532188841201,0.8189642471926664,932.0
sisron,0.984465884802289,0.9969957081545064,0.9906392090517265,932.0
suppobox_1,0.7681362901048071,0.6459227467811159,0.6279363793382847,932.0
suppobox_2,0.9239114257428639,0.903648068669528,0.9123597745394191,932.0
suppobox_3,0.9838824558089257,0.9901287553648068,0.9869624127251433,932.0
symmi,0.9914919541173892,0.9984978540772532,0.9949754556507366,932.0
tempedreve,0.4680449170000561,0.4454935622317596,0.4422908166683162,932.0
tinba,0.3868689993337416,0.4976394849785408,0.3399230825457525,932.0
vawtrak_v1,0.9872975720473333,0.9989270386266094,0.9930712675481225,932.0
vawtrak_v2,0.8287984928294149,0.7645922746781115,0.783719352678323,932.0
vawtrak_v3,0.6956720186765676,0.917381974248927,0.7866606234171728,932.0
zeus-newgoz,0.9987163386786637,0.9974248927038627,0.9980679721712595,932.0
legit,0.8660099634624479,0.5699570815450643,0.6782249648705416,932.0
accuracy,0.7159261129344442,0.7159261129344442,0.7159261129344442,0.7159261129344442
macro avg,0.7365843674506272,0.7159261129344442,0.7021768611542573,47532.0
weighted avg,0.736584367450627,0.7159261129344442,0.7021768611542571,47532.0
