,precision,recall,f1-score,support
alureon,0.2120820317460001,0.3051881993896236,0.2355367980314081,983.0
banjori,0.9957734235694602,1.0,0.9978752607799721,983.0
bedep,0.4594964741349381,0.33346897253306207,0.34193913392140246,983.0
ccleaner,0.9733140046840975,0.9995930824008138,0.986264038382801,983.0
chinad,0.7416560267027761,0.7216683621566633,0.7219818517711089,983.0
corebot,0.9834734427246247,0.9768056968463885,0.9801015539478953,983.0
cryptolocker,0.176795081431714,0.32899287894201423,0.21432871489604283,983.0
dircrypt,0.19478171133554778,0.2752797558494405,0.18222392326864623,983.0
dyre,0.9945567092533182,1.0,0.9972659064785194,983.0
fobber_v1,0.5873729517820454,0.8376398779247204,0.6842331681165144,983.0
fobber_v2,0.21335750876874066,0.16907426246185148,0.1776050140443636,983.0
gozi_gpl,0.8275282749200074,0.891556459816887,0.8537421796580109,983.0
gozi_luther,0.7516403044930862,0.7709053916581892,0.7487959631444256,983.0
gozi_nasa,0.6313322007257935,0.35055951169888094,0.41939650202864254,983.0
gozi_rfc4343,0.478698543943633,0.6952187182095626,0.5470104867452112,983.0
kraken_v1,0.7427516582423453,0.6376398779247202,0.6685517403560335,983.0
kraken_v2,0.3708598857027122,0.22909460834181075,0.27937171741928746,983.0
locky,0.3088151121305624,0.16846388606307222,0.20759353592179747,983.0
matsnu,0.7984341237322023,0.7814852492370296,0.7463372566292772,983.0
murofet_v1,0.8431510819125598,0.9548321464903357,0.8943003609090677,983.0
murofet_v2,0.7406572908861225,0.861648016276704,0.7910879973786027,983.0
murofet_v3,0.9949869531674945,0.990030518819939,0.9924605340495539,983.0
necurs,0.2215929446135652,0.15910478128179045,0.162767089882282,983.0
nymaim,0.8570272042947341,0.65940996948118,0.7378671397949276,983.0
padcrypt,0.9035768924499878,0.9493387589013226,0.9238585414220518,983.0
pizd,0.48332014734854367,0.5580874872838251,0.4837032736807019,983.0
proslikefan,0.43954248276902225,0.3615462868769074,0.3813331171165002,983.0
pushdo,0.6812392986472334,0.6602238046795523,0.6528433572099559,983.0
pykspa,0.24219914406635407,0.10091556459816886,0.12560658745972106,983.0
pykspa_noise,0.2483067092494627,0.246998982706002,0.2278467870559318,983.0
qadars,0.7850203961479434,0.5822990844354018,0.6462838143244852,983.0
qakbot,0.4151744701581353,0.20264496439471005,0.21158629472975043,983.0
ramdo,0.8103600462548544,0.9664292980671416,0.878257630377895,983.0
ramnit,0.16861979990897757,0.18575788402848423,0.16798109408571157,983.0
ranbyus_v1,0.31567397780036444,0.10437436419125128,0.13771844822137885,983.0
ranbyus_v2,0.32615040927595185,0.4998982706002034,0.36537977643007036,983.0
rovnix,0.8035368245558325,0.8054933875890132,0.7979242827743895,983.0
shiotob,0.5660064111040144,0.553204476093591,0.5385741237977868,983.0
simda,0.6910419903764781,0.5725330620549339,0.6115881940830153,983.0
sisron,0.9479914546314354,0.9702950152594101,0.9582980393037019,983.0
suppobox_1,0.5237551707094168,0.6052899287894201,0.537694459431448,983.0
suppobox_2,0.8586527613526783,0.6205493387589013,0.7166168581054533,983.0
suppobox_3,0.938282993287139,0.9940996948118006,0.9651131890552552,983.0
symmi,0.9689158640249109,0.9886063072227873,0.978430147094085,983.0
tempedreve,0.2248919601783211,0.17070193285859614,0.18860692965838355,983.0
tinba,0.1777050718804612,0.1273652085452696,0.13950137387787023,983.0
vawtrak_v1,0.9701854680133177,0.9806714140386573,0.9752097495267806,983.0
vawtrak_v2,0.5124307550242786,0.4148524923702951,0.4020802767996502,983.0
vawtrak_v3,0.5026321538249857,0.7043743641912512,0.5625075478223647,983.0
zeus-newgoz,0.9174516807376654,0.9861648016276703,0.9495745848173615,983.0
legit,0.7505380146309741,0.4441505595116988,0.545292714548397,983.0
accuracy,0.5971475874174696,0.5971475874174696,0.5971475874174696,0.5971475874174696
macro avg,0.613202692025624,0.5971475874174696,0.5811382168699194,50133.0
weighted avg,0.6132026920256239,0.5971475874174696,0.5811382168699194,50133.0
